,stork_migration_id,timestamp,date,location-long,location-lat
716117,4559_pl_afr_5,2015-07-03 08:30:07.000,2015-07-03 08:30:07.000,22.4822124,53.2299691
716118,4559_pl_afr_5,2015-07-03 08:35:06.000,2015-07-03 08:35:06.000,22.4821381,53.2299929
716119,4559_pl_afr_5,2015-07-03 08:40:07.000,2015-07-03 08:40:07.000,22.4821474,53.230003
716120,4559_pl_afr_5,2015-07-03 08:45:08.000,2015-07-03 08:45:08.000,22.4822093,53.2299474
716121,4559_pl_afr_5,2015-07-03 08:50:07.000,2015-07-03 08:50:07.000,22.4821387,53.2300434
716122,4559_pl_afr_5,2015-07-03 08:55:13.000,2015-07-03 08:55:13.000,22.4822868,53.2299085
716123,4559_pl_afr_5,2015-07-03 09:00:09.000,2015-07-03 09:00:09.000,22.4821742,53.2299999
716124,4559_pl_afr_5,2015-07-03 09:00:18.000,2015-07-03 09:00:18.000,22.4821978,53.2299805
716125,4559_pl_afr_5,2015-07-03 09:00:18.000,2015-07-03 09:00:18.000,22.4821978,53.2299805
716126,4559_pl_afr_5,2015-07-03 09:05:08.000,2015-07-03 09:05:08.000,22.4822558,53.2299724
716127,4559_pl_afr_5,2015-07-03 09:10:08.000,2015-07-03 09:10:08.000,22.4820305,53.230049
716128,4559_pl_afr_5,2015-07-03 09:15:23.000,2015-07-03 09:15:23.000,22.4821933,53.230026
716129,4559_pl_afr_5,2015-07-03 09:20:07.000,2015-07-03 09:20:07.000,22.4821877,53.2299733
716130,4559_pl_afr_5,2015-07-03 09:25:07.000,2015-07-03 09:25:07.000,22.4821915,53.2300038
716131,4559_pl_afr_5,2015-07-03 09:30:07.000,2015-07-03 09:30:07.000,22.4821374,53.2300376
716132,4559_pl_afr_5,2015-07-03 09:35:07.000,2015-07-03 09:35:07.000,22.4821402,53.2300181
716133,4559_pl_afr_5,2015-07-03 09:40:07.000,2015-07-03 09:40:07.000,22.4821506,53.2299786
716134,4559_pl_afr_5,2015-07-03 09:45:07.000,2015-07-03 09:45:07.000,22.4822065,53.2299724
716135,4559_pl_afr_5,2015-07-03 09:50:07.000,2015-07-03 09:50:07.000,22.4821589,53.2299898
716136,4559_pl_afr_5,2015-07-03 09:55:06.000,2015-07-03 09:55:06.000,22.4821461,53.2299563
716137,4559_pl_afr_5,2015-07-03 10:00:13.000,2015-07-03 10:00:13.000,22.4817878,53.2298333
716138,4559_pl_afr_5,2015-07-03 10:05:09.000,2015-07-03 10:05:09.000,22.4820386,53.2299497
716139,4559_pl_afr_5,2015-07-03 10:10:11.000,2015-07-03 10:10:11.000,22.482133,53.22997
716140,4559_pl_afr_5,2015-07-03 10:15:23.000,2015-07-03 10:15:23.000,22.482278,53.2300044
716141,4559_pl_afr_5,2015-07-03 10:20:06.000,2015-07-03 10:20:06.000,22.4822722,53.2299536
