,stork_migration_id,migration_id,timestamp,date,location-long,location-lat,area_type
64,3957_pl_afr_3,pl_afr_3,2014-07-02 16:05:07.000,2014-07-02 16:05:07,22.4845319,53.2302742,green_land
65,3959_pl_afr_3,pl_afr_3,2014-07-02 16:35:07.000,2014-07-02 16:35:07,22.4822914,53.2299899,green_land
66,3955_pl_afr_3,pl_afr_3,2014-07-02 17:05:07.000,2014-07-02 17:05:07,22.4870124,53.2306215,green_land
67,3959_pl_afr_3,pl_afr_3,2014-07-02 17:35:07.000,2014-07-02 17:35:07,22.4821734,53.2298984,green_land
68,3953_pl_afr_3,pl_afr_3,2014-07-02 18:05:07.000,2014-07-02 18:05:07,22.5560904,53.2310493,rural
69,3959_pl_afr_3,pl_afr_3,2014-07-02 18:35:07.000,2014-07-02 18:35:07,22.4822625,53.2299372,green_land
70,3956_pl_afr_3,pl_afr_3,2014-07-02 19:05:07.000,2014-07-02 19:05:07,22.4845984,53.2302694,green_land
71,3951_pl_afr_3,pl_afr_3,2014-07-02 19:35:07.000,2014-07-02 19:35:07,22.5560927,53.2312612,rural
72,3952_pl_afr_3,pl_afr_3,2014-07-02 20:12:07.000,2014-07-02 20:12:07,22.5561359,53.2311118,rural
73,3959_pl_afr_3,pl_afr_3,2014-07-03 02:00:23.000,2014-07-03 02:00:23,22.4821846,53.229952,green_land
74,3953_pl_afr_3,pl_afr_3,2014-07-03 02:35:06.000,2014-07-03 02:35:06,22.5561008,53.2310646,rural
75,3952_pl_afr_3,pl_afr_3,2014-07-03 03:05:06.000,2014-07-03 03:05:06,22.5560554,53.2310518,rural
76,3950_pl_afr_3,pl_afr_3,2014-07-03 03:35:06.000,2014-07-03 03:35:06,22.5560765,53.2312836,rural
77,3953_pl_afr_3,pl_afr_3,2014-07-03 04:05:06.000,2014-07-03 04:05:06,22.5560998,53.2310444,rural
78,3952_pl_afr_3,pl_afr_3,2014-07-03 04:35:06.000,2014-07-03 04:35:06,22.5560793,53.2311091,rural
79,3950_pl_afr_3,pl_afr_3,2014-07-03 05:05:06.000,2014-07-03 05:05:06,22.5561338,53.2312101,rural
80,3951_pl_afr_3,pl_afr_3,2014-07-03 05:35:06.000,2014-07-03 05:35:06,22.5561067,53.2312796,rural
81,3953_pl_afr_3,pl_afr_3,2014-07-03 06:05:06.000,2014-07-03 06:05:06,22.556098,53.2310677,rural
